1,アマランサス　玄穀　,358,12.7,6.0,72.3,7.4,0.00254
2,あわ　精白粒　,367,11.2,4.4,73,3.3,0.00254
3,あわ　あわもち　,214,5.1,1.3,46.8,1.5,0
4,えんばく オートミール　,380,13.7,5.7,78.5,9.4,0.00762
5, 七分つき押麦　,341,10.9,2.1,82.4,10.3,0.00508
6,押麦　,340,6.2,1.3,87.4,9.6,0.00508
7,米粒麦　,343,7,2.1,84.9,8.7,0.00508
8,大麦めん　乾　,339,12.9,1.7,74.3,6.3,2.794
9,大麦めん　ゆで　,122,4.8,0.6,26.8,2.5,0.16256
10,　麦こがし　,391,12.5,5.0,92.6,15.5,0.00508
11,きび　精白粒　　　,363,11.3,3.3,72.5,1.6,0.00508
12,国産　普通　,337,10.6,3.1,83,10.8,0.00508
13,輸入　軟質　,348,10.1,3.3,86.4,11.2,0.00508
14,輸入　硬質　,334,13,3.0,80.8,11.4,0.00508
15,薄力粉　1等　,367,8.3,1.5,78.3,2.5,0
16,薄力粉　2等　,368,9.3,1.9,76.9,2.6,0
17,中力粉　1等　,367,9.0,1.6,77.9,2.8,0.00254
18,中力粉　2等　,368,9.7,1.8,76.1,2.1,0.00254
19,強力粉　1等　,365,11.8,1.5,74.4,2.7,0
20,強力粉　2等　,366,12.6,1.7,72.7,2.1,0
21,強力粉　全粒粉　,328,12.8,2.9,79.4,11.2,0.00508
22,プレミックス粉　お好み焼き用　,352,10.1,1.9,76.4,2.8,3.556
23,プレミックス粉　ホットケーキ用　,365,7.8,4.0,76.2,1.8,0.9906
24,プレミックス粉　から揚げ用　,331,10.2,1.2,72.6,2.6,9.652
25,プレミックス粉　天ぷら用　,351,8.8,1.3,78.6,2.5,0.5334
26,食パン　　,264,9.3,4.4,49,2.3,1.27
27,コッペパン　　,265,8.5,3.8,51.1,2.0,1.3208
28,乾パン　　,393,9.5,4.4,81.9,3.1,1.2446
29,フランスパン　　,279,9.4,1.3,60.2,2.7,1.5748
30,ライ麦パン　　,264,8.4,2.2,58.3,5.6,1.1938
31,ぶどうパン　　,269,8.2,3.5,53.3,2.2,1.016
32,ロールパン　　,316,10.1,9.0,50.6,2.0,1.2446
33,クロワッサン　　,448,7.9,26.8,45.7,1.8,1.1938
34,イングリッシュマフィン　　,228,8.1,3.6,42,1.2,1.2192
35,ナン　　,262,10.3,3.4,49.6,2.0,1.3462
36,ベーグル　　,275,9.6,2.0,57.1,2.5,1.1684
37,うどん　生　,270,6.1,0.6,58,1.2,2.54
38,うどん　ゆで　,105,2.6,0.4,22.4,0.8,0.3048
39,干しうどん　乾　,348,8.5,1.1,74.3,2.4,4.318
40,干しうどん　ゆで　,126,3.1,0.5,26.5,0.7,0.5334
41,そうめん・ひやむぎ　乾　,356,9.5,1.1,75.2,2.5,3.81
42,そうめん・ひやむぎ　ゆで　,127,3.5,0.4,26.7,0.9,0.2159
43,手延そうめん・手延ひやむぎ　乾　,342,9.3,1.5,70.7,1.8,5.842
44,手延そうめん・手延ひやむぎ　ゆで　,127,3.5,0.6,26.5,1.0,0.3302
45,中華めん　生　,281,8.6,1.2,57.8,2.1,1.0414
46,中華めん　ゆで　,149,4.9,0.6,30.5,1.3,0.1778
47,蒸し中華めん　　,198,5.3,1.7,40.3,1.9,0.4318
48,干し中華めん　乾　,365,10.5,1.6,75.9,2.9,1.27
49,干し中華めん　ゆで　,140,4.1,0.5,29.6,1.5,0.1905
50,沖縄生　,284,9.2,2.0,56.3,2.1,2.0574
51,沖縄ゆで　,147,5.2,0.8,29.5,1.5,0.4318
52,干し沖縄乾　,351,12.0,1.7,69.9,2.1,4.318
53,干し沖縄ゆで　,148,5.2,0.6,30.1,1.5,0.508
54,即席中華めん　油揚げ味付け　,445,10.1,16.7,66,2.5,6.35
55,即席中華めん　油揚げ　,458,10.1,19.1,63.8,2.4,5.588
56,即席中華めん　非油揚げ　,356,10.3,5.2,69.4,2.3,6.858
57,中華スタイル即席カップめん　油揚げ　,448,10.7,19.7,59.2,2.3,6.858
58,中華スタイル即席カップめん　油揚げ　焼き,436,8.4,18.9,60.5,2.4,3.81
59,中華スタイル即席カップめん　非油揚げ　,342,9.0,6.4,65.1,2.9,6.858
60,和風スタイル即席カップめん　油揚げ　,451,10.9,20.1,58.5,1.9,6.858
61,マカロニ・スパゲッティ　乾　,379,12.2,1.9,76.6,2.7,0.00254
62,マカロニ・スパゲッティ　ゆで　,165,5.4,0.9,33.7,1.7,1.1684
63,生パスタ　生　,247,7.8,1.9,48.4,1.5,1.1938
64,生ふ　　,163,12.7,0.8,26.7,0.5,0.01778
65,焼きふ　釜焼きふ　,385,28.5,2.7,60.6,3.7,0.01524
66,焼きふ　板ふ　,379,25.6,3.3,61.1,3.8,0.4826
67,焼きふ　車ふ　,387,30.2,3.4,56.8,2.6,0.2794
68,　小麦はいが　　,426,32.0,11.6,62.6,14.3,0.00762
69,　小麦たんぱく　粉末状　,437,72.0,9.7,13,2.4,0.1524
70,　小麦たんぱく　粒状　,111,20.0,2.0,2.2,0.4,0.09144
71,　小麦たんぱく　ペースト状　,159,25.0,4.1,4.4,0.5,0.5842
72,　ぎょうざの皮　　,291,9.3,1.4,59.2,2.2,0.00508
73,　しゅうまいの皮　　,295,8.3,1.4,61.1,2.2,0.00508
74,　ピザ生地　,268,9.1,3.0,53.4,2.3,1.2954
75,　ちくわぶ　　,171,7.1,1.2,32.6,1.5,0.00254
76,　パン粉　生　,280,11.0,5.1,50.6,3.0,0.889
77,　パン粉　半生　,319,12.5,5.8,57.8,3.5,1.016
78,　パン粉　乾燥　,373,14.6,6.8,67.4,4.0,1.1684
79,　冷めん　生　,252,3.9,0.7,58.7,1.1,1.3462
115,［うるち米製品］　アルファ化米　一般用　,388,6.0,1.0,86,1.2,0.0127
116,［うるち米製品］　アルファ化米　学校給食用強化品　,388,6.0,1.0,86,1.2,0.0127
117,［うるち米製品］　おにぎり　　,179,2.7,0.3,39.8,0.4,0.508
118,［うるち米製品］　焼きおにぎり　　,181,3.1,0.3,39.9,0.4,0.9652
119,［うるち米製品］　きりたんぽ　　,210,3.2,0.4,46.6,0.4,0.00254
120,［うるち米製品］　上新粉　　,362,6.2,0.9,79.1,0.6,0.00508
121,［うるち米製品］　玄米粉　　,395,7.1,2.9,87.6,3.5,0.00762
122,［うるち米製品］　米粉　　,374,6.0,0.7,82.5,0.6,0.00254
123,［うるち米製品］　米粉パン　　,255,3.4,3.1,52.2,0.9,0.8636
124,［うるち米製品］　米粉めん　　,265,3.6,0.7,59.3,0.9,0.12192
125,［うるち米製品］　ビーフン　　,377,7.0,1.6,80.8,0.9,0.00508
126,［うるち米製品］　米こうじ　　,286,5.8,1.7,60.6,1.4,0.00762
127,［もち米製品］　もち　　,234,4.0,0.6,51.3,0.5,0
128,［もち米製品］　赤飯　　,190,4.3,0.6,43.5,1.6,0
129,［もち米製品］　あくまき　　,132,2.3,1.8,25.9,0.2,0.04064
130,［もち米製品］　白玉粉　　,369,6.3,1.0,80.5,0.5,0.00508
131,［もち米製品］　道明寺粉　　,372,7.1,0.7,81.1,0.7,0.01016
132,米ぬか　　,412,13.4,19.6,69.3,20.5,0.01778
133,そば粉　全層粉　　,361,12.0,3.1,73.9,4.3,0.00508
134,そば粉　内層粉　　,359,6.0,1.6,79.4,1.8,0.00254
135,そば粉　中層粉　　,360,10.2,2.7,76,4.4,0.00508
136,そば粉　表層粉　　,358,15.0,3.6,72.2,7.1,0.00508
137,そば米　　　,364,9.6,2.5,77.4,3.7,0.00254
138,そば　生　　,274,9.8,1.9,57.2,2.7,0.00254
139,そば　ゆで　　,132,4.8,1.0,28,2.0,0.00508
140,そば　干し乾　　,344,14.0,2.3,70.4,3.7,2.159
141,そば　干しゆで　　,114,4.8,0.7,23.6,1.5,0.127
142,玄穀　黄色種　　,350,8.6,5.0,79.6,9.0,0.00762
143,玄穀　白色種　　,350,8.6,5.0,79.6,9.0,0.00762
144,コーンミール　黄色種　　,363,8.3,4.0,80.4,8.0,0.00508
145,コーンミール　白色種　　,363,8.3,4.0,80.4,8.0,0.00508
146,コーングリッツ　黄色種　　,355,8.2,1.0,78.8,2.4,0.00254
147,コーングリッツ　白色種　　,355,8.2,1.0,78.8,2.4,0.00254
148,コーンフラワー　黄色種　　,363,6.6,2.8,77.8,1.7,0.00254
149,コーンフラワー　白色種　　,363,6.6,2.8,77.8,1.7,0.00254
150,ジャイアントコーン　フライ　味付け　　,435,5.7,11.8,87.1,10.5,1.0922
151,ポップコーン　　　,484,10.2,22.8,68.9,9.3,1.4478
152,コーンフレーク　　　,381,7.8,1.7,86,2.4,2.1082
153,はとむぎ　精白粒　　　,360,13.3,1.3,72.8,0.6,0.00254
154,ひえ　精白粒　　　,366,9.4,3.3,77.5,4.3,0.01524
155,もろこし　玄穀　　　,352,10.3,4.7,80.8,9.7,0.00508
156,もろこし　精白粒　　　,364,9.5,2.6,78.5,4.4,0.00508
157,ライむぎ　全粒粉　　　,334,12.7,2.7,84,13.3,0.00254
158,ライむぎ　ライ麦粉　　　,351,8.5,1.6,88.7,12.9,0.00254
159,穀類混合品　五穀　,357,12.6,2.8,75.3,5.1,0.00254
160,きくいも　塊茎　生　　　,35,1.9,0.4,16.6,1.9,0.00254
161,きくいも　塊茎　水煮　　　,28,1.6,0.5,13.4,2.1,0.00254
162,こんにゃく　精粉　　　,177,3.0,0.1,165.2,79.9,0.04572
163,こんにゃく　板こんにゃく　精粉こんにゃく　　,5,0.1,0,4.5,2.2,0.0254
164,こんにゃく　板こんにゃく　生いもこんにゃく　　,7,0.1,0.1,6.3,3.0,0.00508
165,こんにゃく　赤こんにゃく　　　,5,0.1,0,4.8,2.3,0.02794
166,こんにゃく　凍みこんにゃく　乾　　,167,3.3,1.4,148.4,71.3,0.13208
167,こんにゃく　凍みこんにゃく　ゆで　　,36,0.7,0.3,32.3,15.5,0.02794
168,こんにゃく　しらたき　　　,6,0.2,0,5.9,2.9,0.0254
169,さつまいも　塊根　皮むき　生　　,134,1.2,0.2,34.1,2.2,0.02794
170,さつまいも　塊根　皮むき　蒸し　　,134,1.2,0.2,34.2,2.3,0.02794
